-18.5940485,-69.4784541,Arica  y  Parinacota,16,161,1.53  %,2
-19.923194,-69.51320319999999,Tarapaca,3,93,0.89  %,0
-23.6509279,-70.39750219999999,Antofagasta,14,263,2.50  %,1
-23.8634189,-69.1328491,Atacama,0,13,0.12  %,0
-29.9590009,-71.3389183,Coquimbo,1,69,0.66  %,0
-33.047238,-71.61268849999999,Valparaiso,7,388,3.69  %,5
-33.4375545,-70.6504896,Metropolitana,262,5643,53.71  %,67
-48.48218079999999,-72.5882957,O'Higgins,1,56,0.53  %,0
-35.5183364,-71.6884912,Maule,2,304,2.89  %,10
-36.7225743,-71.7622481,Nuble,9,687,6.54  %,13
-37.4464428,-72.1416132,Biobio,10,626,5.96  %,3
-38.948921,-72.331113,Araucania,73,1045,9.95  %,23
-40.2310217,-72.331113,Los  Rios,5,162,1.54  %,3
-41.9197779,-72.1416132,Los  Lagos,3,424,4.04  %,6
-46.378345,-72.3007623,Aysen,0,7,0.07  %,0
-52.3680467,-70.98628459999999,Magallanes,13,566,5.39  %,6
-33.33878,-70.709953,Total,419,10507,100%,139
