-33.398596,-71.6981538,Valparaiso,05,El Quisco,05604,17742,-,-,-,-,-,-,3,16.9
-33.4557162,-71.66693409999999,Valparaiso,05,El Tabo,05605,14338,-,-,-,-,-,-,2,13.9
-32.7986559,-71.1463438,Valparaiso,05,Hijuelas,05503,19099,-,-,-,-,-,-,-,0.0
-27.112723,-109.3496865,Valparaiso,05,Isla de Pascua,05201,8277,-,5,5,5,5,6,6,72.5
-30.0447611,-79.80368320000001,Valparaiso,05,Juan Fernandez,05104,1033,-,-,-,-,-,-,-,0.0
-32.8258069,-71.2273055,Valparaiso,05,La Cruz,05504,25321,-,-,-,-,-,-,5,19.7
-32.44990180000001,-71.2325958,Valparaiso,05,La Ligua,05401,37739,-,-,-,-,-,-,2,5.3
-32.8337995,-70.59721789999999,Valparaiso,05,Los Andes,05301,68093,-,-,-,-,6,6,6,8.8
-32.7333,-71.2042115,Valparaiso,05,Nogales,05506,23490,-,-,-,-,-,-,-,0.0
-32.9958297,-71.1812984,Valparaiso,05,Olmue,05803,19266,-,-,-,-,-,-,1,5.2
-32.7670303,-70.8333,Valparaiso,05,Panquehue,05704,7633,-,-,-,-,-,-,-,0.0
-32.5072087,-71.4485013,Valparaiso,05,Papudo,05403,6201,-,-,-,-,-,-,-,0.0
-32.25,-70.9333,Valparaiso,05,Petorca,05404,10558,-,-,-,5,4,5,6,56.8
-32.722005,-71.4117004,Valparaiso,05,Puchuncavi,05105,20071,-,-,-,-,-,-,-,0.0
-32.628461,-70.7177434,Valparaiso,05,Putaendo,05705,17645,-,-,-,-,-,-,1,5.7
-32.8803027,-71.2497156,Valparaiso,05,Quillota,05501,97572,6,7,9,9,13,13,16,16.4
-33.0482707,-71.4408752,Valparaiso,05,Quilpue,05801,167085,11,10,11,12,15,18,20,12.0
-32.7723101,-71.5333,Valparaiso,05,Quintero,05107,36135,-,-,-,-,-,4,5,13.8
-32.8352416,-70.7010367,Valparaiso,05,Rinconada,05303,11263,-,-,-,-,-,-,2,17.8
-33.5922807,-71.6055123,Valparaiso,05,San Antonio,05601,96761,-,4,8,9,9,13,17,17.6
-32.8004995,-70.5798032,Valparaiso,05,San Esteban,05304,20643,-,-,-,-,-,-,-,0.0
-32.75,-70.7208115,Valparaiso,05,San Felipe,05701,83494,-,-,5,5,6,6,6,7.2
-33.0352386,-71.5967794,Valparaiso,05,Santa Maria,05706,16367,-,-,-,-,-,-,2,12.2
-33.635833,-71.628056,Valparaiso,05,Santo Domingo,05606,11934,,-,-,-,5,5,5,41.9
41.4730948,-87.0611412,Valparaiso,05,Valparaiso,05101,315732,16,26,23,26,36,39,44,13.9
-33.0516935,-71.3906234,Valparaiso,05,Villa Alemana,05804,139310,6,8,11,11,12,12,12,8.6
-33.0153481,-71.55002759999999,Valparaiso,05,Vina del Mar,05109,361371,29,38,47,53,66,69,72,19.9
-32.5538059,-71.4581359,Valparaiso,05,Zapallar,05405,7994,-,0,-,-,-,-,-,0.0
-34.0264691,-71.1002881,Metropolitana,13,Alhue,13502,7405,-,-,-,-,-,-,-,0.0
-33.7313897,-70.742431,Metropolitana,13,Buin,13402,109641,7,8,14,20,20,29,36,32.8
-33.6291031,-70.7686968,Metropolitana,13,Calera de Tango,13403,28525,6,7,7,7,8,8,10,35.1
-33.50101070000001,-70.7098735,Metropolitana,13,Cerrillos,13102,88956,-,4,4,5,11,21,29,32.6
-33.4218958,-70.7404531,Metropolitana,13,Cerro Navia,13103,142465,19,21,26,31,36,42,57,40.0
-33.2045451,-70.6759654,Metropolitana,13,Colina,13301,180353,32,39,47,50,62,66,74,41.0
-33.3846893,-70.68002129999999,Metropolitana,13,Conchali,13104,139195,14,18,22,32,38,47,52,37.4
-33.4009037,-71.1267263,Metropolitana,13,Curacavi,13503,36430,5,5,5,8,9,10,13,35.7
-33.5589761,-70.67875029999999,Metropolitana,13,El Bosque,13105,172000,18,28,35,37,46,64,83,48.3
-33.6815281,-70.9853968,Metropolitana,13,El Monte,13602,40014,-,-,-,5,7,9,10,25.0
-33.4619178,-70.69850989999999,Metropolitana,13,Estacion Central,13106,206792,16,22,25,36,41,61,71,34.3
-33.3742128,-70.6367425,Metropolitana,13,Huechuraba,13107,112528,17,19,22,32,35,38,48,42.7
-33.4155974,-70.6642603,Metropolitana,13,Independencia,13108,142065,15,17,22,26,31,37,52,36.6
-33.7464562,-70.89999999999999,Metropolitana,13,Isla de Maipo,13603,40171,-,-,-,4,7,10,10,24.9
-33.5264495,-70.66135109999999,Metropolitana,13,La Cisterna,13109,100434,10,12,12,20,26,34,39,38.8
-33.5226882,-70.5987142,Metropolitana,13,La Florida,13110,402433,43,58,67,91,103,126,165,41.0
