Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa 
Valparaiso,05,Villa Alemana,05804,139310,6,8,11,11,12,12,12,8.6
Valparaiso,05,Vina del Mar,05109,361371,29,38,47,53,66,69,72,19.9
Valparaiso,05,Zapallar,05405,7994,-,0,-,-,-,-,-,0.0
Metropolitana,13,Alhue,13502,7405,-,-,-,-,-,-,-,0.0
Metropolitana,13,Buin,13402,109641,7,8,14,20,20,29,36,32.8
Metropolitana,13,Calera de Tango,13403,28525,6,7,7,7,8,8,10,35.1
Metropolitana,13,Cerrillos,13102,88956,-,4,4,5,11,21,29,32.6
Metropolitana,13,Cerro Navia,13103,142465,19,21,26,31,36,42,57,40.0
Metropolitana,13,Colina,13301,180353,32,39,47,50,62,66,74,41.0
Metropolitana,13,Conchali,13104,139195,14,18,22,32,38,47,52,37.4
Metropolitana,13,Curacavi,13503,36430,5,5,5,8,9,10,13,35.7
Metropolitana,13,El Bosque,13105,172000,18,28,35,37,46,64,83,48.3
Metropolitana,13,El Monte,13602,40014,-,-,-,5,7,9,10,25.0
Metropolitana,13,Estacion Central,13106,206792,16,22,25,36,41,61,71,34.3
Metropolitana,13,Huechuraba,13107,112528,17,19,22,32,35,38,48,42.7
Metropolitana,13,Independencia,13108,142065,15,17,22,26,31,37,52,36.6
Metropolitana,13,Isla de Maipo,13603,40171,-,-,-,4,7,10,10,24.9
Metropolitana,13,La Cisterna,13109,100434,10,12,12,20,26,34,39,38.8
Metropolitana,13,La Florida,13110,402433,43,58,67,91,103,126,165,41.0
Metropolitana,13,La Granja,13111,122557,5,8,16,24,26,36,46,37.5
Metropolitana,13,La Pintana,13112,189335,-,10,13,18,25,39,55,29.0
Metropolitana,13,La Reina,13113,100252,24,26,30,35,44,52,54,53.9
Metropolitana,13,Lampa,13302,126898,10,10,13,14,18,26,37,29.2
Metropolitana,13,Las Condes,13114,330759,181,208,224,258,266,281,296,89.5
Metropolitana,13,Lo Barnechea,13115,124076,68,78,85,97,105,110,116,93.5
Metropolitana,13,Lo Espejo,13116,103865,4,7,9,15,23,34,48,46.2
Metropolitana,13,Lo Prado,13117,104403,14,18,20,25,32,35,43,41.2
Metropolitana,13,Macul,13118,134635,10,15,23,34,37,43,49,36.4
Metropolitana,13,Maipu,13119,578605,43,55,64,83,106,167,203,35.1
Metropolitana,13,Maria Pinto,13504,14926,-,-,-,-,-,-,-,0.0
Metropolitana,13,Melipilla,13501,141612,6,8,9,11,12,16,17,12.0
Metropolitana,13,Nunoa,13120,250192,67,84,93,107,118,155,171,68.3
Metropolitana,13,Padre Hurtado,13604,74188,10,11,14,16,18,20,26,35.0
Metropolitana,13,Paine,13404,82766,-,-,-,-,-,7,8,9.7
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,7,13,13,16,19,36,54,50.1
Metropolitana,13,Penaflor,13605,101058,10,13,13,18,18,20,25,24.7
Metropolitana,13,Penalolen,13122,266798,31,46,54,65,78,98,131,49.1
Metropolitana,13,Pirque,13202,30433,-,-,-,4,4,9,10,32.9
Metropolitana,13,Providencia,13123,157749,82,87,94,104,115,129,136,86.2
Metropolitana,13,Pudahuel,13124,253139,17,25,32,44,52,67,78,30.8
Metropolitana,13,Puente Alto,13201,645909,45,58,76,119,166,239,322,49.9
Metropolitana,13,Quilicura,13125,254694,17,29,33,51,57,79,94,36.9
Metropolitana,13,Quinta Normal,13126,136368,21,25,35,41,57,69,84,61.6
Metropolitana,13,Recoleta,13127,190075,17,23,32,44,52,61,73,38.4
Metropolitana,13,Renca,13128,160847,9,14,18,19,22,28,42,26.1
Metropolitana,13,San Bernardo,13401,334836,32,41,53,74,79,117,140,41.8
Metropolitana,13,San Joaquin,13129,103485,13,24,28,36,42,52,58,56.0
Metropolitana,13,San Jose de Maipo,13203,18644,-,-,-,-,-,4,4,21.5
Metropolitana,13,San Miguel,13130,133059,25,32,39,49,56,69,86,64.6
Metropolitana,13,San Pedro,13505,11953,-,-,-,-,-,-,-,0.0
Metropolitana,13,San Ramon,13131,86510,-,6,9,9,12,18,20,23.1
Metropolitana,13,Santiago,13101,503147,127,156,173,234,271,321,375,74.5
Metropolitana,13,Talagante,13601,81838,-,5,6,11,14,18,21,25.7
Metropolitana,13,Tiltil,13303,21477,-,-,-,-,4,4,4,18.6
Metropolitana,13,Vitacura,13132,96774,83,90,100,114,114,119,127,131.2
Del Libertador General Bernardo OHiggins,06,Chepica,06302,15925,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Chimbarongo,06303,37696,-,-,-,-,-,-,2,5.3
Del Libertador General Bernardo OHiggins,06,Codegua,06102,14096,-,-,-,-,-,-,-,0.0
