-18.5940485,-69.4784541,Arica  y  Parinacota,5,120,1.52  %,1
-19.923194,-69.51320319999999,Tarapaca,10,62,0.78  %,0
-23.6509279,-70.39750219999999,Antofagasta,6,155,1.96  %,1
-23.8634189,-69.1328491,Atacama,0,13,0.16  %,0
-29.9590009,-71.3389183,Coquimbo,0,66,0.83  %,0
-33.047238,-71.61268849999999,Valparaiso,12,285,3.60  %,2
-33.4375545,-70.6504896,Metropolitana,283,4086,51.61  %,40
-48.48218079999999,-72.5882957,O'Higgins,5,53,0.67  %,0
-35.5183364,-71.6884912,Maule,1,142,1.79  %,4
-36.7225743,-71.7622481,Nuble,4,622,7.86  %,8
-37.4464428,-72.1416132,Biobio,16,528,6.67  %,2
-38.948921,-72.331113,Araucania,21,816,10.31  %,20
-40.2310217,-72.331113,Los  Rios,10,148,1.87  %,3
-41.9197779,-72.1416132,Los  Lagos,5,385,4.86  %,5
-46.378345,-72.3007623,Aysen,0,7,0.09  %,0
-52.3680467,-70.98628459999999,Magallanes,14,429,5.42  %,6
-33.33878,-70.709953,Total,392,7917,100%,92
