-18.5940485,-69.4784541,Arica  y  Parinacota,30,210,1.78  %,2
-19.923194,-69.51320319999999,Tarapaca,14,128,1.08  %,0
-23.6509279,-70.39750219999999,Antofagasta,14,340,2.88  %,2
-23.8634189,-69.1328491,Atacama,5,18,0.15  %,0
-29.9590009,-71.3389183,Coquimbo,0,70,0.59  %,0
-33.047238,-71.61268849999999,Valparaiso,8,429,3.63  %,7
-33.4375545,-70.6504896,Metropolitana,351,6434,54.47  %,85
-48.48218079999999,-72.5882957,O'Higgins,17,76,0.64  %,1
-35.5183364,-71.6884912,Maule,5,333,2.82  %,10
-36.7225743,-71.7622481,Nuble,5,708,5.99  %,13
-37.4464428,-72.1416132,Biobio,17,675,5.71  %,5
-38.948921,-72.331113,Araucania,29,1142,9.67  %,26
-40.2310217,-72.331113,Los  Rios,2,173,1.46  %,3
-41.9197779,-72.1416132,Los  Lagos,9,454,3.84  %,7
-46.378345,-72.3007623,Aysen,0,7,0.06  %,0
-52.3680467,-70.98628459999999,Magallanes,10,615,5.21  %,7
-33.33878,-70.709953,Total,516,11812,100%,168
